Date,Fund,Product,Book,ProductClass,Vega Notional,Financial PnL, NAV 
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,-124144.8388,1015253364.89
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-93000.00,-152356.9907,1015253364.89
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,-88475.48405,1015253364.89
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,-55589.95362,1015253364.89
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,0.00,-249214.4102,1015253364.89
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.00,-50339.12008,1002644989.80
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-46500.00,-79594.446,1002644989.80
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,-85149.95216,1002644989.80
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-93000.00,-133188.8253,1002644989.80
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,-116271.9649,1002644989.80
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,-41523.54699,1002644989.80
1/14/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,-17188.22374,1002644989.80
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-25000.00,78543.35582,1006830824.60
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-46500.00,116046.9866,1006830824.60
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-36800.00,141794.4686,1006830824.60
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-93000.00,105182.5817,1006830824.60
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,27092.13531,1006830824.60
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,12092.98129,1006830824.60
1/13/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,29927.54668,1006830824.60
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.00,14172.90217,996451439.47
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-46500.00,155914.2387,996451439.47
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,104379.1164,996451439.47
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-93000.00,243839.9108,996451439.47
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,150454.0998,996451439.47
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,7295.176341,996451439.47
1/12/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,15264.48639,996451439.47
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-25000.00,-333590.2951,991048240.41
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,-58512.53383,991048240.41
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-36800.00,-373109.213,991048240.41
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-93000.00,-229563.504,991048240.41
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-46500.00,-648517.1426,991048240.41
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,-52032.28636,991048240.41
1/11/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,-23379.17753,991048240.41
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-25000.00,44871.81097,983323569.03
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,19586.37493,983323569.03
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-36800.00,133112.9847,983323569.03
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-93000.00,30532.19006,983323569.03
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,22494.0685,983323569.03
